# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 17129595225
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85ef4076                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff854ffa90                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602f79a                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85d07438                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85f2aded                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603a6d1                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602b261                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff853f1400                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603f8ea                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603c843                                                                                                          -      -            
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85717a55                                                                                                          -      -            
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff84c0012b                                                                                                          -      -            
