# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16266256465
#
# Overhead  Command       Shared Object     Symbol
# ........  ............  ................  ......................................................................................................................................................................................................
#
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8603c80d
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85500e51
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8601149b
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff850716f1
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8603d580
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86011308
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff850791f1
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8519f2ce
     0.07%  frankenredis  [unknown]         [k] 0xffffffff8519f903
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8507e5d7
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f0b723
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff853e9b96
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86011247
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff850b68f9
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85503fa7
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85712ad5
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602f4c3
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0ffd794
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8604ce72
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85ef6ac9
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff854ffb35
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0feabc1
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff850bfde6
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0ffd799
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff850bc63c
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8604ab81
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603f77d
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff850a7843
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8603fca2
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0f9262e
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0f927cf
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8603f6d6
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8602f625
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6a5
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0817136
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0ffd1e4
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85ef6e20
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff853ec2a1
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff84f8c38f
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86022f3b
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85124c0d
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8515c8a4
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f1f3c9
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602b0c0
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f60719
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff856a2080
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f20
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86022fee
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0fe8e4b
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8622f224
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602045f
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85456d8e
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2a5e3
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8584169c
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603acab
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85088491
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff853f13d9
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85ef6ad4
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85f2b587
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86011493
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8602f8fd
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8513cf48
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86036625
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e029
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff850868a4
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff853263a5
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86002ff5
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0a0
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86011af8
