# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15783509527
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                  
# ........  ............  ................  ........................................................................................................................................................................................................
#
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85fb02e6
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85f606e9
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e332
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffffc0fdcfa3
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85f9f67a
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8603a989
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8508129e
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff84f8c9d1
     0.09%  frankenredis  [unknown]         [k] 0xffffffff854fe335
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffffc081760c
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85459881
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff86220708
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffffc0fd771f
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8604caf5
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff850210af
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0e7
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffffc0feac4b
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff853ec34e
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff86009608
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0f92477
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8507a6a3
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85f2ef19
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85f2f170
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0f923ed
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8508e760
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff854b1ae6
