# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 11254857444
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ................  ...............................................................................................................................................................................................................................................................  ....................
#
     0.06%  [unknown]         [k] 0xffffffff85f2ad41                                                                                                                                                                                                                                           -      -
     0.06%  frankenredis      [.] <fr_runtime::Runtime>::namespace_argv_for_selected_db                                                                                                                                                                                                        -      -
     0.06%  [unknown]         [k] 0xffffffff8623a4d4                                                                                                                                                                                                                                           -      -
     0.06%  [unknown]         [k] 0xffffffff85f2adfc                                                                                                                                                                                                                                           -      -
     0.06%  [unknown]         [k] 0xffffffff85f2adf8                                                                                                                                                                                                                                           -      -
     0.06%  frankenredis      [.] <fr_protocol::RespFrame>::encode_into                                                                                                                                                                                                                        -      -
     0.06%  [unknown]         [k] 0xffffffff84c00080                                                                                                                                                                                                                                           -      -
     0.06%  [unknown]         [k] 0xffffffffc0fdd344                                                                                                                                                                                                                                           -      -
     0.06%  frankenredis      [.] frankenredis::borrowed_plain_hmget_args                                                                                                                                                                                                                      -      -
     0.06%  [vdso]            [.] 0x0000000000000994                                                                                                                                                                                                                                           -      -
     0.06%  [unknown]         [k] 0xffffffff85453c88                                                                                                                                                                                                                                           -      -
     0.06%  [unknown]         [k] 0xffffffff8508751f                                                                                                                                                                                                                                           -      -
     0.06%  [unknown]         [k] 0xffffffff85eefc89                                                                                                                                                                                                                                           -      -
     0.06%  [unknown]         [k] 0xffffffff8507eab8                                                                                                                                                                                                                                           -      -
     0.05%  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates                                                                                                                                                                                                      -      -
     0.05%  [unknown]         [k] 0xffffffff85080f21                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff86010f85                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff85089bf5                                                                                                                                                                                                                                           -      -
     0.05%  frankenredis      [.] frankenredis::borrowed_plain_hexists_args                                                                                                                                                                                                                    -      -
     0.05%  [unknown]         [k] 0xffffffff854feb8f                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff85712c8e                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff8513984c                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff8546fe25                                                                                                                                                                                                                                           -      -
