# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15228250647
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff860541f6                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85eef8ec                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0816026                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0fd3601                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85ef6e19                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85f2cb7d                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85712170                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85160588                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0feabbd                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8510b48f                                                                                                          -      -            
