# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 14060755418
#
# Overhead  Command       Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ............  ....................  .................................................................................................................................................................................................................................................................................................................................................................................
#
     0.06%  frankenredis  frankenredis          [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
     0.06%  frankenredis  [unknown]             [k] 0xffffffff86220689
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8506d6df
     0.06%  frankenredis  [unknown]             [k] 0xffffffff854ff658
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc0fddc92
     0.06%  frankenredis  [unknown]             [k] 0xffffffff857121da
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc0ffd1e4
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc08175c0
     0.06%  frankenredis  frankenredis          [.] frankenredis::borrowed_plain_lindex_args
     0.06%  frankenredis  [unknown]             [k] 0xffffffff862251b4
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85f0cb72
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85f9f6ae
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85d073b5
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85f0537d
     0.06%  frankenredis  [unknown]             [k] 0xffffffff854feb26
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85f0c786
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8530d2f5
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8601130d
     0.06%  frankenredis  [unknown]             [k] 0xffffffff86039195
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85453cb8
     0.06%  frankenredis  [unknown]             [k] 0xffffffff84f240d0
     0.06%  frankenredis  [unknown]             [k] 0xffffffff854feb8d
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8507e5ec
     0.06%  frankenredis  [unknown]             [k] 0xffffffff850a77e8
