# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16834608495
#
# Overhead  Command       Shared Object     Symbol                                                                                                                            
# ........  ............  ................  ..................................................................................................................................
#
     4.63%  frankenredis  frankenredis      [.] fr_store::canonical_string_value_from_slice
            |          
            |--0.79%--<fr_store::Store>::drop_if_expired
            |          
             --0.71%--0x71646f5b5986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_set_borrowed

     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8508e8a7
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85eff1be
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8620ad46
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602b0e6
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f2b5e5
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff850884f5
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8623a4b6
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8622f2bd
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603d1cc
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85838ed6
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e2df
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff851a2b6f
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff851a0563
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603d187
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6aa
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8600a886
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86220541
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86023c0a
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc08551a6
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff860d1d15
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff850a71b3
     0.06%  frankenredis  [unknown]         [k] 0xffffffff855008c5
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8600a706
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff84d04104
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffffc0f9212e
     0.06%  fr-writer-1   libc.so.6         [.] __syscall_cancel_arch_end
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff850792c0
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8623a6aa
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86023a39
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8547f4ce
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603f846
     0.06%  fr-writer-0   libc.so.6         [.] __syscall_cancel
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc08175e7
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff851a222e
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85efbc01
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e989
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8513cf28
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8546fb9b
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602f620
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff850856cc
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8600a886
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86036f6c
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85ef407d
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8507dc57
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85160d29
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8620cf53
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc0f924c1
     0.06%  fr-writer-0   libc.so.6         [.] __GI___libc_write
